"entity_key","date","year","year_season","year_quarter","year_month","year_week","season_number","season","season_de","season_einkauf","month","week","day_of_month","day_of_week","day_name","month_name","last_day_of_month","last_day_of_week","business_day","working_days","next_ship_day"
117,2012-04-26,2012,"2012-1-SS","2012-Q2","2012-04","2012-17",1,SS,FS,FS12,4,17,26,4,Thursday ,April    ,2012-04-30,2012-04-29,2012-04-26,1,2012-04-27
118,2012-04-27,2012,"2012-1-SS","2012-Q2","2012-04","2012-17",1,SS,FS,FS12,4,17,27,5,Friday   ,April    ,2012-04-30,2012-04-29,2012-04-27,1,2012-04-30
119,2012-04-28,2012,"2012-1-SS","2012-Q2","2012-04","2012-17",1,SS,FS,FS12,4,17,28,6,Saturday ,April    ,2012-04-30,2012-04-29,2012-04-30,0,2012-04-30
120,2012-04-29,2012,"2012-1-SS","2012-Q2","2012-04","2012-17",1,SS,FS,FS12,4,17,29,7,Sunday   ,April    ,2012-04-30,2012-04-29,2012-04-30,0,2012-04-30
121,2012-04-30,2012,"2012-1-SS","2012-Q2","2012-04","2012-18",1,SS,FS,FS12,4,18,30,1,Monday   ,April    ,2012-04-30,2012-05-06,2012-04-30,1,2012-05-02
122,2012-05-01,2012,"2012-1-SS","2012-Q2","2012-05","2012-18",1,SS,FS,FS12,5,18,1,2,Tuesday  ,May      ,2012-05-31,2012-05-06,2012-05-02,0,2012-05-02
123,2012-05-02,2012,"2012-1-SS","2012-Q2","2012-05","2012-18",1,SS,FS,FS12,5,18,2,3,Wednesday,May      ,2012-05-31,2012-05-06,2012-05-02,1,2012-05-03
124,2012-05-03,2012,"2012-1-SS","2012-Q2","2012-05","2012-18",1,SS,FS,FS12,5,18,3,4,Thursday ,May      ,2012-05-31,2012-05-06,2012-05-03,1,2012-05-04
125,2012-05-04,2012,"2012-1-SS","2012-Q2","2012-05","2012-18",1,SS,FS,FS12,5,18,4,5,Friday   ,May      ,2012-05-31,2012-05-06,2012-05-04,1,2012-05-07
126,2012-05-05,2012,"2012-1-SS","2012-Q2","2012-05","2012-18",1,SS,FS,FS12,5,18,5,6,Saturday ,May      ,2012-05-31,2012-05-06,2012-05-07,0,2012-05-07
